name,description,price,restaurant,category
Asian Shrimp,"Mixed greens, sprouts, cilantro, sesame seeds, cherry tomatoes, almonds, fried wontons, red onions, green onions & asian dressing",9.99,California Fish Grill,SALADS
Crab Salad,"Mixed greens, sprouts, red onions, dried cranberries, cherry tomatoes, & sweet & tangy vinaigrette",9.99,California Fish Grill,SALADS
Green Salad,"Mixed greens with your choice of dressing. cilantro, sweet & tangy lime vinaigrette, balsamic vinegar, ranch, blue cheese or asian dressing",2.95,California Fish Grill,SALADS
Shrimp (Grilled),"With rice, onion, tomato, cabbage, and cream sauce",6.99,California Fish Grill,BURRITO WRAPS
Cajun Swai (Grilled White/Fish),"With rice, onion, tomato, cabbage, and cream sauce",6.49,California Fish Grill,BURRITO WRAPS
Mahi Cajun (Grilled),"With rice, onion, tomato, cabbage, and cream sauce",7.75,California Fish Grill,BURRITO WRAPS
Chicken or Fried Fish (Pollock),"With rice, onion, tomato, cabbage, and cream sauce",6.49,California Fish Grill,BURRITO WRAPS
"Fried Pollock, Shrimp, Calamari or Scallops",,4.99,California Fish Grill,SOUP & SIDES
Sweet Potato Fries,,3.99,California Fish Grill,SOUP & SIDES
French Fries or Rice,,1.75,California Fish Grill,SOUP & SIDES
Brown Rice,,2.25,California Fish Grill,SOUP & SIDES
Tortilla Chips,,1.95,California Fish Grill,SOUP & SIDES
Zucchini (Grilled),,1.75,California Fish Grill,SOUP & SIDES
Beans or Coleslaw,,1.25,California Fish Grill,SOUP & SIDES
Tortillas (Corn or Flour),,1.25,California Fish Grill,SOUP & SIDES
Hawaiian Style Ahi Poke,,6.99,California Fish Grill,SOUP & SIDES
Ahi Poke Sliders,,5.99,California Fish Grill,SOUP & SIDES
Crab Cakes,,7.99,California Fish Grill,SOUP & SIDES
Fried Zucchini,,2.49,California Fish Grill,SOUP & SIDES
New England Clam (Creamy White),Regular size,3.25,California Fish Grill,SOUP & SIDES
New England Clam (Creamy White),Large size,4.49,California Fish Grill,SOUP & SIDES
Spicy Corn Chowder,Regular size,3.25,California Fish Grill,SOUP & SIDES
Spicy Corn Chowder,Large size,4.49,California Fish Grill,SOUP & SIDES
Soft Drink,,1.99,California Fish Grill,BEVERAGES
Coffee,,1.65,California Fish Grill,BEVERAGES
Bottled Water,,1.89,California Fish Grill,BEVERAGES
Mini Old Fashioned Carrot Cake,,4.25,California Fish Grill,DESSERTS
Lemon Cake,,4.25,California Fish Grill,DESSERTS
Mini German Chocolate Cake,,4.25,California Fish Grill,DESSERTS
